epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8369,1.14315,4.46726,0.01588,0.02927,0.55455,0.11276,0.06504,0.95811,4.7401,0.0152,0.00011,0.00011,0.00011
2,14.4658,1.05091,4.28729,0.01455,0.0177,0.5798,0.2384,0.15352,0.97496,4.7429,0.01614,0.000228861,0.000228861,0.000228861
3,18.0155,1.00549,4.28898,0.01488,0.01323,0.59333,0.21895,0.13282,0.9007,4.64875,0.01567,0.000346535,0.000346535,0.000346535
4,21.3945,0.95395,3.92427,0.01281,0.01088,0.60828,0.20106,0.14576,0.81489,4.35952,0.01388,0.00046302,0.00046302,0.00046302
5,24.6482,0.91369,3.6664,0.01274,0.00979,0.66162,0.20661,0.15207,0.8625,3.89337,0.01592,0.000578318,0.000578318,0.000578318
6,27.6485,0.96514,3.55231,0.01396,0.75846,0.17717,0.23369,0.16654,0.87815,3.54596,0.01574,0.000692427,0.000692427,0.000692427
7,31.4879,0.93791,3.37997,0.01321,0.82933,0.14768,0.28684,0.19187,0.98283,3.2171,0.01861,0.000805349,0.000805349,0.000805349
