epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2232,1.15469,4.49905,0.0169,0.02925,0.46908,0.08046,0.03807,0.96607,4.71723,0.01529,6e-05,6e-05,6e-05
2,14.298,1.07506,4.486,0.01602,0.02929,0.57014,0.12576,0.07267,0.88753,4.72431,0.01361,0.000129356,0.000129356,0.000129356
3,16.1438,1.03799,4.41727,0.01473,0.02116,0.60256,0.16732,0.10489,0.85175,4.73386,0.0129,0.00019802,0.00019802,0.00019802
4,17.9833,1.02311,4.50589,0.01673,0.0132,0.61538,0.22612,0.15289,0.80929,4.68506,0.01307,0.00026599,0.00026599,0.00026599
5,19.7918,0.91367,4.38343,0.01348,0.01054,0.61538,0.21497,0.13043,0.80251,4.60005,0.01373,0.000333268,0.000333268,0.000333268
6,21.5563,0.8907,4.15034,0.01251,0.00997,0.65385,0.22226,0.14166,0.73968,4.41495,0.01256,0.000399853,0.000399853,0.000399853
7,23.2698,0.86802,3.82418,0.01151,0.01004,0.66667,0.20123,0.13924,0.7672,4.29594,0.01321,0.000465744,0.000465744,0.000465744
8,25.0305,0.89438,3.7118,0.01168,0.00882,0.66667,0.24088,0.17397,0.74491,4.01164,0.01305,0.000530942,0.000530942,0.000530942
9,26.8129,0.89915,3.63865,0.01339,0.00821,0.63333,0.25399,0.18321,0.81403,3.86417,0.01453,0.000595448,0.000595448,0.000595448
10,28.5778,0.91368,3.72317,0.01388,0.00854,0.66667,0.28078,0.20944,0.78592,3.71142,0.01389,0.000659261,0.000659261,0.000659261
11,30.5488,0.90569,3.5927,0.01391,0.82328,0.08215,0.29064,0.22555,0.8343,3.39143,0.01421,0.00072238,0.00072238,0.00072238
12,32.5603,0.86148,3.21883,0.0113,0.81929,0.09619,0.30418,0.2354,0.92489,3.26329,0.01599,0.000784806,0.000784806,0.000784806
13,34.4994,0.94913,3.3982,0.01438,0.87407,0.08824,0.4194,0.31267,0.90783,3.19021,0.01606,0.00084654,0.00084654,0.00084654
14,36.369,0.93606,3.28071,0.01372,0.87407,0.08824,0.4194,0.31267,0.90783,3.19021,0.01606,0.000907581,0.000907581,0.000907581
15,38.2269,0.90894,3.24271,0.01268,0.87722,0.11765,0.41296,0.29707,0.98709,3.09518,0.01774,0.0009307,0.0009307,0.0009307
16,40.0948,0.94294,3.12851,0.01362,0.7869,0.25449,0.41487,0.29887,1.00209,2.96824,0.01802,0.00092575,0.00092575,0.00092575
17,41.9738,0.9307,2.95485,0.01414,0.75098,0.29014,0.4733,0.32802,1.05293,2.72201,0.01915,0.0009208,0.0009208,0.0009208
18,43.9084,0.93879,3.11873,0.01477,0.61806,0.39767,0.53336,0.36438,0.9978,2.51651,0.01774,0.00091585,0.00091585,0.00091585
19,45.8089,0.95741,2.94078,0.0139,0.48753,0.48403,0.58773,0.40227,0.99889,2.27347,0.01718,0.0009109,0.0009109,0.0009109
20,47.7928,0.91627,2.7441,0.01293,0.43317,0.59876,0.6567,0.42859,1.0901,2.14699,0.0195,0.00090595,0.00090595,0.00090595
21,49.6677,0.95259,2.54843,0.01319,0.54583,0.63394,0.64063,0.38765,1.09287,2.1933,0.02001,0.000901,0.000901,0.000901
22,51.5158,0.97826,2.64785,0.0142,0.54583,0.63394,0.64063,0.38765,1.09287,2.1933,0.02001,0.00089605,0.00089605,0.00089605
23,53.4126,0.91679,2.59819,0.01295,0.56941,0.64166,0.63327,0.40894,1.08614,2.13577,0.01909,0.0008911,0.0008911,0.0008911
24,55.3515,0.93064,2.57622,0.01403,0.46747,0.73514,0.66121,0.45024,0.97926,2.10144,0.01689,0.00088615,0.00088615,0.00088615
25,57.3517,0.9632,2.55482,0.01411,0.78682,0.39787,0.64746,0.46704,0.98711,2.02362,0.01732,0.0008812,0.0008812,0.0008812
26,59.2862,0.94512,2.52297,0.01412,0.75023,0.42112,0.65971,0.48405,0.97256,1.94648,0.01723,0.00087625,0.00087625,0.00087625
27,61.0833,0.93552,2.48442,0.0147,0.53528,0.6009,0.7062,0.51667,0.99024,1.87351,0.01677,0.0008713,0.0008713,0.0008713
28,62.9075,0.93455,2.5442,0.01435,0.55291,0.61071,0.71644,0.51856,1.01526,1.83444,0.0173,0.00086635,0.00086635,0.00086635
29,64.898,0.91238,2.34316,0.01249,0.53932,0.58691,0.75665,0.55162,0.98971,1.81394,0.01697,0.0008614,0.0008614,0.0008614
30,66.7847,0.94337,2.23466,0.01307,0.53932,0.58691,0.75665,0.55162,0.98971,1.81394,0.01697,0.00085645,0.00085645,0.00085645
31,68.7881,0.92985,2.38616,0.01437,0.58073,0.65475,0.77628,0.56885,0.9927,1.80206,0.01669,0.0008515,0.0008515,0.0008515
32,71.4282,0.89985,2.22931,0.01319,0.75985,0.46565,0.72574,0.51509,1.0502,1.77276,0.01858,0.00084655,0.00084655,0.00084655
33,74.3815,0.96739,2.35706,0.0145,0.64954,0.60781,0.74721,0.5346,1.05162,1.72838,0.0186,0.0008416,0.0008416,0.0008416
34,76.5983,0.93947,2.19993,0.01359,0.65689,0.72097,0.73414,0.53901,1.01486,1.71751,0.01839,0.00083665,0.00083665,0.00083665
35,78.6179,0.987,2.19132,0.0126,0.70281,0.62248,0.7282,0.53586,1.0258,1.67019,0.01886,0.0008317,0.0008317,0.0008317
36,80.4278,0.89267,2.24247,0.01286,0.78028,0.56206,0.764,0.56191,1.08093,1.63405,0.01906,0.00082675,0.00082675,0.00082675
37,82.3379,0.90871,2.19486,0.01357,0.83567,0.53884,0.76427,0.55098,1.15045,1.52442,0.02078,0.0008218,0.0008218,0.0008218
38,84.3789,0.89157,2.06437,0.01298,0.83567,0.53884,0.76427,0.55098,1.15045,1.52442,0.02078,0.00081685,0.00081685,0.00081685
39,86.4362,0.89857,2.18878,0.01314,0.74341,0.63062,0.76678,0.57464,1.0822,1.41724,0.0191,0.0008119,0.0008119,0.0008119
40,88.4238,0.96056,2.21608,0.01417,0.79577,0.56898,0.75629,0.56919,1.1148,1.35441,0.0202,0.00080695,0.00080695,0.00080695
41,90.3083,0.87429,2.00511,0.01371,0.87266,0.53681,0.75796,0.55685,1.14714,1.37585,0.02116,0.000802,0.000802,0.000802
42,92.2532,0.92826,2.18528,0.01506,0.76593,0.56736,0.76447,0.57046,1.11618,1.3639,0.01989,0.00079705,0.00079705,0.00079705
43,94.1815,0.89226,1.9335,0.01238,0.79155,0.60219,0.76809,0.57127,1.10148,1.39407,0.01947,0.0007921,0.0007921,0.0007921
44,96.2137,0.8918,1.8856,0.01195,0.77998,0.57744,0.79986,0.57949,1.15456,1.34315,0.02038,0.00078715,0.00078715,0.00078715
45,98.0632,0.93548,2.07827,0.01502,0.82598,0.605,0.78938,0.55337,1.19671,1.43602,0.02147,0.0007822,0.0007822,0.0007822
