epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.951,1.16411,5.70458,0.02445,0.00316,0.2,0.08052,0.05553,1.09725,5.70562,0.02154,1e-05,1e-05,1e-05
2,29.0228,1.21561,5.68623,0.02369,0.00428,0.2,0.1094,0.06659,1.10328,5.68819,0.0222,2.703e-05,2.703e-05,2.703e-05
3,39.4729,1.09806,5.65295,0.02115,0.00597,0.2,0.1094,0.06633,1.15029,5.70449,0.02441,4.01e-05,4.01e-05,4.01e-05
4,49.8218,1.14361,5.67093,0.02188,0.00748,0.2,0.169,0.11069,1.24968,5.7568,0.02786,4.921e-05,4.921e-05,4.921e-05
5,61.342,1.03539,5.58941,0.02154,0.00816,0.2,0.17122,0.11022,1.3,5.77606,0.0281,5.436e-05,5.436e-05,5.436e-05
6,73.0488,1.01439,5.59169,0.02077,0.01041,0.25,0.15929,0.10121,1.27244,5.76183,0.02726,5.555e-05,5.555e-05,5.555e-05
7,85.0395,0.9899,5.56063,0.01949,0.01181,0.25,0.14459,0.09071,1.30211,5.77403,0.0278,5.278e-05,5.278e-05,5.278e-05
8,95.9361,0.92471,5.50076,0.01876,0.01663,0.3,0.13298,0.09032,1.26767,5.77223,0.02631,4.605e-05,4.605e-05,4.605e-05
