id,name,lat,lng
94,Lai Lai Fried Rice,24.9653707,121.1936545
95,Yi-Ren Gym (Main Sports Hall),24.9683424,121.1907771
96,Center for Frontier Science and Technology,24.9665361,121.1875852
97,Steamed Bun Shop,24.9654201,121.1935363
98,Qiao Hui Vegetarian Food,24.9653677,121.1936642
99,Single Dormitory 1,24.9660948,121.1909385
100,Single Dormitory 2,24.9665483,121.1907345
101,Single Dormitory 4,24.9667551,121.190514
102,International Student Dormitory,24.9661569,121.1944424
103,Kwoh-Ting Optics and Photonics Building,24.9702699,121.1903721
104,Kwoh-Ting Library and Archives,24.9700564,121.1944473
105,Civil Engineering Quality Assurance Center,24.9691949,121.188617
106,Dept. of Civil Engineering & Chemical Materials,24.9674864,121.1926876
107,College of Earth Sciences (A),24.9673729,121.1945404
108,College of Earth Sciences (B),24.9671291,121.1945295
109,Shake Milk Tea,24.9650597,121.1935441
110,Large-scale Mechanics Laboratory,24.9687745,121.188519
111,Atmospheric Environment Laboratory,24.9674367,121.1854887
112,Main Auditorium,24.9682972,121.1923619
113,Grand Lecture Hall,24.9672014,121.1959266
114,Center for Space and Remote Sensing Research,24.9678399,121.187321
115,Girls' Dormitory 1,24.9664028,121.1923828
116,Girls' Dormitory 3,24.9662748,121.1923654
117,Girls' Dormitory 2,24.9664044,121.1917557
118,Girls' Dormitory 14,24.9655148,121.1943499
119,Girls' Dormitory 4,24.9661924,121.1917509
120,College of Hakka Studies,24.9709302,121.1904257
121,Late Night Supper Buffet,24.9653819,121.1936648
122,Workshop 1,24.9680011,121.1892323
123,Shinemood Waffle,24.9699622,121.1934112
124,Caveman Restaurant,24.9650501,121.1936381
125,Engineering Building 1,24.9674217,121.1926782
126,Engineering Building 3 (Mechanical),24.9679444,121.1885372
127,Engineering Building 5,24.9669988,121.1873001
128,Zhi-Xi Building,24.9702273,121.193658
129,Zhi-Dao Building,24.9656431,121.1938321
130,Double Shop,24.9671565,121.1907715
131,Ju-De Building,24.9667609,121.1958916
132,Teaching and Research General Building,24.9683295,121.1917082
133,Teaching and Research Underground Parking,24.9681798,121.1916421
134,Liberal Arts Building 1,24.9693624,121.1945571
135,Liberal Arts Building 2,24.9688741,121.1945477
136,Hope House Dormitory,24.9709576,121.1943047
137,Dong Dong Handmade Dumplings,24.9651315,121.1935441
138,Pinecone Building (Incubation Center),24.9667635,121.1908141
139,Pine Garden Restaurant,24.9670778,121.1906948
140,Pine Courtyard Restaurant,24.9670698,121.190635
141,President's Residence,24.969395,121.1957942
142,Lakeside Pavilion,24.9707267,121.1916367
143,Man Shi Ji Yakiniku Donburi,24.9653171,121.193539
144,Invincible Egg Crepe,24.9654311,121.1935356
145,College of Science Teaching Building,24.9714218,121.1922425
146,Institute of Environmental Engineering,24.96836,121.1875525
147,Boys' Dormitory 13,24.9665716,121.1964019
148,Boys' Dormitory 7,24.965587,121.1954535
149,Boys' Dormitory 3,24.9656173,121.1933568
150,Boys' Dormitory 9,24.9704778,121.195653
151,Boys' Dormitory 5,24.9660966,121.1951899
152,Boys' Dormitory 6,24.965888,121.1957504
153,Boys' Dormitory 11,24.9656697,121.1949258
154,Boys' Dormitory 12,24.9712763,121.1948919
155,Fuming Temple,24.9658373,121.1851324
156,Fuquan Tofu Pudding,24.9652901,121.1909283
157,Xian Chun Fang Restaurant,24.9654771,121.1909949
158,Science Building 3,24.9707236,121.1921368
159,Science Building 5,24.9713946,121.1926077
160,Science Building 2 (College of Science),24.9699801,121.192245
161,Science Building 4,24.9712894,121.1918149
162,Second Administration Center,24.9682852,121.193621
163,Management Building 2,24.9707253,121.1936117
164,Porridge King,24.9652355,121.1936332
165,Main Library,24.9682585,121.1942862
166,Delicious King Restaurant,24.9652227,121.1936522
167,Badminton Hall,24.9691147,121.1908354
168,Administration Building,24.9682777,121.1950533
169,Waste Disposal Site,24.9699991,121.1961998
170,Institute for Information Industry,24.9678294,121.1917148
171,College of EECS,24.9674672,121.1916643
172,Garage,24.9700914,121.195913
173,Dept. of Communication Engineering,24.9673851,121.1916966
174,Student Activity Center,24.9662962,121.195962
175,Galaxy Fried Rice,24.9652441,121.1936509
176,Dept. of Electrical Engineering,24.9674904,121.1914196
177,Zhuan Shi Yuan Restaurant,24.9652433,121.1935428
178,Gourmet Lu-Wei,24.9651912,121.1935423
179,Xiang Tian Yuan Restaurant,24.9654007,121.193671
180,Fragrant Rice Bento,24.9701721,121.1955007
181,Sports Equipment Room,24.9693496,121.1905357
182,High Voltage Substation,24.9673254,121.1966198
183,MWD Breakfast (A),24.967023,121.1907369
184,MWD Breakfast (B),24.9653458,121.1935377
